PR	PM	T
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
16	0	0
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
16	0	192
17	1	180
17	1	180
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	1	192
17	2	192
17	2	192
18	2	180
18	2	180
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	2	192
18	3	180
18	3	180
19	3	180
19	3	180
19	3	192
19	3	192
19	3	192
19	3	192
19	3	192
19	3	192
19	3	192
19	3	192
19	4	192
19	4	192
20	4	180
20	4	180
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	192
20	4	168
20	5	168
20	5	168
21	5	156
21	5	156
21	5	168
21	5	168
21	5	168
21	5	168
21	5	168
21	5	168
21	5	168
21	6	168
22	6	156
22	6	156
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
22	6	168
